name,location,about,email,phone
European Space Agency - ESA,France,"The European Space Agency (ESA) is Europe’s gateway to space. Its mission is to shape the development of Europe’s space capability and ensure that investment in space continues to deliver benefits to the citizens of Europe and the world. ESA is an international organisation with 22 Member States. By coordinating the financial and intellectual resources of its members, it can undertake programmes and activities far beyond the scope of any single European country. ESA's headquarters are in Paris which is where policies and programmes are decided. ESA also has sites in a number of European countries, each of which has different responsibilities: <br /><ul><li>EAC, the European Astronauts Centre in Cologne, Germany</li><li>ESAC, the European Space Astronomy Centre, in Villanueva de la Canada, Madrid</li><li>ESOC, the European Space Operations Centre in Darmstadt, Germany</li><li>ESRIN, the ESA centre for Earth Observation, in Frascati, near Rome, Italy</li><li>ESTEC, the European Space Research and Technology Centre, Noordwijk</li><li>ECSAT, the European Centre for Space Applications and Telecommunications, Harwell, Oxfordshire, United Kingdom</li><li>ESA Redu Centre, Belgium. ESA also has liaison offices in Belgium, USA and Russia, a launch base in French Guiana and ground/tracking stations in various parts of the world</li></ul>",,
Hydrosat,"Luxembourg City, Luxembourg","Hydrosat is a data analytics company based in Luxembourg, and we are determined to solve the world’s food challenges. We use space imagery to expand agricultural knowledge, help farmers grow more food, and conserve critical water resources. Our products will make farms more productive, enable companies in the agricultural and related industries to operate more efficiently, and improve Earth’s environment. <br /><br /><br />",jobs@hydrosat.com,
TU Braunschweig - Institute  of Space Systems,"Hermann-Blenk-Str. 23, Braunschweig, 38108, Germany","<p><strong>The Institute of Space Systems is concerned with space technology.</strong></p><p><br/></p><p>Space technology is concerned with the orbital mechanics of satellites in medium Earth orbit. The research focuses on the exact calculation of satellite orbits, taking into account all the disturbing forces, predicting the path and the reentry of small satellites as well as the simulation of the formation and distribution of space debris (Space Debris) including the detection of object distribution densities for satellites, rocket stages and debris in near-Earth space.<br/></p>",,
"a.i. solutions, Inc.","4500 Forbes Boulevard Suite 300, Lanham, 20706, United States of America","We are a mature small business, offering products and engineering services to enable your mission’s success. Since 1996, <b>a.i. solutions</b>’<b></b> proven capabilities and customized solutions have supported our nation’s defense and civilian space agencies for over 20 years.<br />",,
Technische Universität Dresden,"Dresden, Germany","Technische Universität Dresden (TUD) is one of the largest technical universities in Germany and one of the leading and most dynamic institutions in the country. With 18 faculties in five Schools, it offers a wide range of 124 degree courses and covers a broad research spectrum. Its focuses Health Sciences, Biomedicine &amp; Bioengineering, Information Technology &amp; Microelectronics, Smart Materials &amp; Structures, Energy, Mobility &amp; Environment as well as Culture &amp; Societal Change are considered exemplary in Germany and throughout Europe.<br />",,
Hochschule Bremen,"Neustadtswall 30, Bremen, 28199, Germany","Teaching and study, research, development and construction as well as continued education as part of life-long learning characterise the work of the Bremen University of Applied Sciences. With 40 institutes participating in interdisciplinary knowledge transfer, the University is a particularly competent partner for moderate-sized companies. All participants benefit from the University’s practical and application-oriented profile, its international orientation and diverse opportunities for collaboration between science and industry – not least the students.<br />",,
Sen,"Great Sutton St, London, EC1V, United Kingdom","Sen's vision is to democratize space using video to inform, educate, inspire and benefit all humanity.<br /><br />We are starved of independent, real-time and accessible satellite information about our ever-changing planet and future in space.<br /><br />As the natural and human worlds evolve and interact, our planet changes everyday. Sen's vision is to address the scarcity of data and awareness of large scale environmental and human events that affect hundreds of millions of people each year, providing a new media that empowers humanity to see both the evolution of the planet and the story of our exploration of space as we become a multi-world democracy.<br /><br />Sen's solution is streaming real-time videos from space to any device, providing useful information to help everyone—people, governments and industry—understand and respond better to our ever changing planet and multi-world future.<br />",,
Deimos Space,"Ronda de Poniente 19, Tres Cantos, Madrid, 28760, Spain","The mission of Elecnor Deimos is to provide high-technology engineering solutions, as well as information systems, products and services of maximum quality, innovation and added-value to its customers.<br />The company was founded in 2001 aiming to develop and provide high-tech systems and engineering solutions. Elecnor Deimos is the technology branch of <a href=""http://www.elecnor.com/"">Elecnor</a>, one of the Spanish leading companies in engineering, infrastructure development and construction projects and a prominent investor in renewable energy, energy and environmental infrastructure and space.<br />All this provides Elecnor Deimos with the capacity for continued growth as well as a solid financial foundation. The knowledge and experience accumulated throughout the years allows the current aerospace market needs to be tackled with the company’s new business approach.<br />Excellence, commitment and innovation are the key principles inspiring Elecnor Deimos. The company is committed towards fulfilling customer needs and expectations.<br /><br />All products and services provided by Elecnor Deimos to its customers are subject to the systematic application of its Corporate Management System (CMS), comprising the integrated management of Quality, Environment, Health &amp; Safety, Information Security and IT Services.<br />",,
Breakthrough Initatives,"Luxembourg City, Luxembourg","<b>We are here.</b>Circling one star among hundreds of billions, in one galaxy among a hundred billion more, in a Universe that is vast and expanding ever faster – perhaps toward infinity. In the granular details of daily life, it’s easy to forget that we live in a place of astonishing grandeur and mystery.The Breakthrough Initiatives are a program of scientific and technological exploration, probing the big questions of life in the Universe: Are we alone? Are there habitable worlds in our galactic neighborhood? Can we make the great leap to the stars? And can we think and act together – as one world in the cosmos?<br /><b>Where is everybody?</b>So wondered the great physicist Enrico Fermi. The Universe is ancient and immense. Life, he reasoned, has had plenty of time to get started – and get smart. But we see no evidence of anything alive or intelligent in space. In the last five years, we have discovered that planets in the habitable zone of stars are common. Based on the numbers discovered so far, there are estimated to be billions more in our galaxy alone. Yet we are still in the dark about life. Are we really alone? Or are there others out there?It’s one of the biggest questions. And only science can answer it.<strong><br /></strong><strong>Breakthrough Listen</strong> is a $100 million program of astronomical observations in search of evidence of intelligent life beyond Earth. It is by far the most comprehensive, intensive and sensitive search ever undertaken for artificial radio and optical signals. A complete survey of the 1,000,000 nearest stars, the plane and center of our galaxy, and the 100 nearest galaxies. All data will be open to the public.<strong>Breakthrough Message</strong> is a $1 million competition to design a message representing Earth, life and humanity that could potentially be understood by another civilization. The aim is to encourage humanity to think together as one world, and to spark public debate about the ethics of sending messages beyond Earth.<br />",,
AH Executives AB,"Tegnérgatan 1 Stockholm 111 40,  Sweden","<p>AH Executives är en affärsutvecklande partner inom områdena Rekrytering, Interim, Konsult, Organisationsutveckling samt Karriärutveckling.<br/><br/>Utifrån flera års erfarenhet i ledande positioner har vi skapat en unik och framgångsrik modell där våra samlade kompetenser och processer ligger till grund för utvecklande och lyckade samarbeten. Modellen bygger på insikt och förståelse för våra uppdragsgivares verksamheter och branscher samt på kundanpassade processer. Den tillsammans med processerna gör det möjligt att effektivt kvalitetssäkra våra uppdrag och skapa möjligheter för vidareutveckling.<br/><br/>Våra uppdragsgivare finns inom flertalet branscher i Sverige och på den Nordiska marknaden.<br/><br/>För oss är det viktigt att såväl kandidater som uppdragsgivare upplever vårt samarbete som en inspirerande och lärande process. Det är också viktigt för alla berörda att säkra en hög etisk nivå i arbetet. AH Executives arbetar därför enligt yrkesetiska normer, regler och etik i linje med Sveriges Branschförening för Human Resource Konsulter och Föreningen Sveriges Executive Search Konsulters krav och rekommendationer.<br/></p>",,
AD AIR CENTRE,"Rua Gervásio Lima SN Praia da Vitoria 9760 – 472,  Portugal","<p>The Atlantic International Research Centre is an international collaborative framework to address global challenges and local priorities in the Atlantic Ocean. It promotes an integrative approach to space, climate, ocean and energy in the Atlantic, supported by emerging technological innovations and advances in data science, and through South-North and North-South cooperation.<br/><br/>The AIR Centre aims at becoming a leading internationally distributed and collaborative network. We want to act as a framework for scientific and technology collaboration and development of ideas, policies, research programmes and projects within the context of the Atlantic Ocean, aligning national priorities and global challenges through joint actions. Our activities are oriented to attract the youngsters and to foster local skilled job creation through “user-driven and open innovation platforms” that test new solutions and facilitate social appropriation of scientific knowledge. Collaborative action research should be transdisciplinary and involve start-ups, SMEs, large firms, engineering centres, research institutions and potential users throughout Atlantic regions.<br/></p>",,
Grey consultants,"163 Holland Gardens, Brentford, London, TW8 0AY, United Kingdom","<p>We identify high-potential opportunities, developing a unique insight from a combined technical and commercial approach. Our clients benefit from professional business planning, financial modelling and development roadmaps. Access our government, industry and academic network.<br/><br/>Receive the finance needed to turn your innovation into a new product or business. Gain access to R&amp;D grants, venture debt and venture capital. Benefit from a detailed business case, business model, elevator pitches and professional presentations.<br/><br/>Ensure your ambition is delivered through our expert project management and project evaluation. Benefit from detailed analysis and project insights with our professional reporting. Our independent evaluation and due diligence provides confidence to your stakeholders.<br/></p>",,
OIP Sensor Systems,"Westerring 21, Oudenaarde, 9700, Belgium","The company OIP ""Optique et Instruments de Précision""​ was founded in Ghent in 1919, after World War I. During this war, Belgium experienced indeed the urgent necessity of having its own optical industry, capable of providing the Belgian Armed Forces with spare parts and optical instruments, as well as repairing optical systems, e.g. military binoculars. <br /><br />During the '20ies to '50ies OIP established an excellent reputation as a high-tech optical manufacturer, developing and manufacturing some outstanding quality optics and fine mechanics. Some examples are : lenses and objectives for military applications, high precision microscopes for medical and scientific applications, photo cameras and photocopy machines for the industry. This reputation of excellence soon crossed the borders and OIP became a world leader reknown for its high-tech and its innovative products. <br /><br />From the '60ies on OIP played a pioneering role in the emerging electro-optics technology (the combination of electronics and optics) as one of the first companies in Europe. With a personnel of about 400 people, OIP developed and manufactured some world premières such as the first ""Optical Sight""​ or Head-Up Display for fighter aircraft (NATO F-104 Starfighter) and the first Fire Control Systems for Main Battle Tanks (LEOPARD 1 in Belgium, Canada and Australia in collaboration with SABCA). <br /><br />Important investments were also realised in developing new technologies, such as fibre optics, laser technology, light intensification and holography, as well for military as for industrial applications. <br /><br />Since the '80ies OIP was granted substantial contracts for series delivery of Fire Control systems for export markets and holographic night vision goggles a.o. for the Belgian Army. OIP participated in space projects with a.o. the development of CPU (Critical Point Facility): a sophisticated opto-electronic minilab for scientific experiments in space and Proba-V: an earth-observation satellite, The Proba-V-instrument started its mission in 2013 to observe the global vegetation and is still working accurately. After the development of 2 instruments for the Exomars2016-mission OIP takes part in the search for life on Mars. And in the future the composition of the higher earth atmosphere will be studied thoroughly with the ALTIUS spectrometer. <br />",,
Space Products and Innovation,"Robert-Bosch-Straße 7 Darmstadt 64293,  Germany","SPiN is a space company specialized in spinning technology from other industries into the space sector. Its core solution is a plug and play adapter to integrate satellites like lego and reduce cost and time of satellite manufacturing. SPiN’s solution is a Multipurpose Adapter Generic Interface Connector (MA61C), a universal adapter that connects any sub-system to any spacecraft platform. The MA61C adapter eases the MAIT process and provides a friendly interface directly to the sub-system during assembly and integration of the satellite. More details about MA61C can be found at  http://www.spinintech.com/ ",,
Politecnico di Milano,"Via La Masa 34, Milano, 20156, Italia","<p>Il Politecnico è un'università scientifico-tecnologica che forma <b>ingegneri</b>, <b>architetti </b>e <b>designer</b>.<br/><br/><br/>Da sempre punta sulla qualità e sull'innovazione della didattica e della ricerca, sviluppando un rapporto fecondo con la realtà economica e produttiva attraverso la <a href=""https://www.polimi.it/ricerca-scientifica/"">ricerca sperimentale</a> e il <a href=""https://www.polimi.it/ricerca-scientifica/la-ricerca-al-politecnico/trasferimento-tecnologico/"">trasferimento tecnologico</a>.<br/><br/><br/>La ricerca è sempre più legata alla <a href=""https://www.polimi.it/corsi/"">didattica</a> e costituisce un impegno prioritario che consente al Politecnico di Milano di raggiungere risultati di alto livello internazionale e di realizzare l'incontro tra università e mondo delle imprese. L'attività di ricerca costituisce, inoltre, un percorso parallelo a quello della cooperazione e delle alleanze con il sistema industriale.<br/><br/><br/>Conoscere il mondo dove si andrà a operare è requisito indispensabile per la formazione degli studenti. Rapportarsi alle esigenze del mondo produttivo, industriale e della pubblica amministrazione, aiuta la ricerca a percorrere terreni nuovi e a confrontarsi con la necessità di una costante e rapida innovazione. L'alleanza con il mondo industriale, in molti casi favorita dalla <a href=""http://www.fondazionepolitecnico.it/"">Fondazione Politecnico</a> e da <a href=""https://www.polimi.it/il-politecnico/strutture/enti-partecipati/"">consorzi partecipati dal Politecnico</a>, consente all'Ateneo di assecondare la vocazione dei territori in cui opera e di essere da stimolo per il loro sviluppo.<br/><br/><br/>La sfida che si gioca oggi proietta questa tradizione di forte radicamento territoriale oltre i confini del paese, in un confronto che si sviluppa prima di tutto a livello europeo con l'obiettivo di contribuire alla creazione di un &#34;mercato unico&#34; della formazione. Il Politecnico partecipa a numerosi progetti di ricerca e di formazione collaborando con le più qualificate università europee e internazionali, dal Nord America al Sud-Est Asiatico all'Est Europeo. Oggi la spinta all’internazionalizzazione vede il Politecnico di Milano partecipare al <a href=""https://www.polimi.it/il-politecnico/partnership-internazionali/"">network europeo e mondiale delle principali università tecniche</a> e offrire numerosi programmi di scambio e di doppia laurea e diversi corsi di studio interamente in inglese.<br/></p>",,
Airbus Defence and Space,"Gunnels Wood Road Stevenage SG12AS,  United Kingdom","As the largest space company in Europe and the UK’s major sovereign space company, Airbus designs and manufactures advanced satellites and systems for telecommunications, Earth observation, navigation and science programmes. Moreover, a significant percentage of TV programming for the county is broadcast by Airbus-built satellites. The space sector contributes £13.7 billion to the UK economy annually.<br /><br /><br />Key efforts include leading the <a href=""https://www.airbus.com/space/space-exploration/solar-orbiter.html""><b>Solar Orbiter</b></a> programme, the £250 million European Space Agency (ESA) mission to study the Sun; the scientific mission <a href=""https://www.airbus.com/space/space-exploration/lisa-pathfinder-paving-the-way.html""><b>LISA Pathfinder</b></a> which successfully tested the concept of gravitational wave detection in space; and the Sentinel 5P, Aeolus, and Biomass Earth observation satellites.<br /><br /><br />Also of note is the ESA <a href=""https://www.airbus.com/newsroom/news/en/2016/03/exomars-2016-the-heat-is-on.html""><b>ExoMars rover</b></a> mission, Europe’s first rover to another planet. Due for launch in 2020, it will search for life on the Red Planet.<br /><br /><br />Airbus operates the UK’s military satellite communications fleet providing all beyond line of sight services to the country’s armed forces, including mobile voice, video, internet and broadcast. Delivered through the Skynet 5 constellation, these services also meet the needs of other military and government users, including NATO. Airbus Defence and Space has nearly 4,000 people in the UK, mainly based in Stevenage, Portsmouth and Newport.<br />",,
SRON Netherlands Institute for Space Research,"Sorbonnelaan 2 Utrecht 3584 CA,  Netherlands","SRON Netherlands Institute for Space Research is the Dutch expertise institute for space research. The institute develops and uses innovative technology for groundbreaking research in space, focusing on astrophysical research, Earth science and planetary research. In addition to this, SRON has a line of research into new and more sensitive sensors for X-rays and infrared radiation.<br /><br />SRON is the national center of expertise for the development and exploitation of satellite instruments in astrophysics and earth system science. SRON is part of the Netherlands Organisation for Scientific Research (NWO).<br /><br />Science and technology<br />The institute has about 200 staff who are employed at a support department and five divisions: high-energy astrophysics, low-energy astrophysics, Earth observation, sensor development and engineering. Together they form a unique melting pot of top scientists and technologists who inspire each other to perform at their absolute best. Problems faced by scientists challenge sensor developers to construct increasingly more sensitive technology. Together with mechanical and electronic engineers they ultimately develop a scientific space instrument with an exceptional level of performance under the extreme conditions of space. The scientific breakthroughs made with such devices in turn inspire new research and new technology.<br />",,
Sky and Space Global,"undefined London undefined,  united kingdom","SAS is the first company to plan, build and operate a telecommunication commercial network over Nano-Satellites.<br /><br /><br />SAS stands in the forefront of technology, award winner of the Global Excellence Award 2017, People’s NewSpace Company 2016 and Frost &amp; Sullivan Innovation Award 2016, it brings to the world a game-changer technology for the satellite and telecom industry.<br /><br /><br />SAS operates in the field of Nano-Satellites, which is now the most popular type of satellites for diverse commercial usage. The low mass and high capabilities of Nano-Satellites makes them the preferable choice for constellations and applications in the New Space industry.<br /><br /><br />Follow the successful launch of its 3 first satellite (the 3 diamonds) SAS plan to launch 200 satellites, providing equatorial coverage and beyond.<br /><br /><br />The satellites are placed carefully in synchronized orbits that circle the earth almost every hour and half. The satellites communicate between each other and each satellite beams down to in a circular footprint. The constellation thus creates a mesh in the sky where each satellite serves as both as a base station and a router.<br /><br /><br />SAS operates in the S-band frequency range that enables a very small device with patch antenna (8cm) or monopole antenna and low power consumption. The network of SAS is a narrow band communication network suitable for IoT, M2M, personal voice and messaging.<br />",,
Skyroot Aerospace Private Limited,"Hyderabad, Telangana, India","A new space age is emerging and the extraordinary opportunities in space depend on the transportation systems from Earth to Space. At Skyroot, we are building technologies for responsive, reliable and economic access to space. We envision a future where spaceflight is as regular, reliable and affordable as airflight.",careers@skyroot.in,+91-9121077779
Kythera Space Solutions,"Bethesda, MD, USA","<p>Kythera offers the industry’s leading software suite for dynamic management of next generation satellites. <br/></p><p><br/></p><p>Kythera is a 2018 spinoff of RKF Engineering, one of the most respected names in satellite and communications systems engineering. RKF services the industry’s satellite manufacturers and operators, the tech giants of Silicon Valley, and governments around the globe. For over ten years, Kythera products have been used to design, optimize, and manage satellites built by the world’s leading manufacturers and flown by the world’s largest operators.Kythera is headquartered in Bethesda, MD USA.<br/></p>",info@kythsoft.com,1-301-298-7590
Celestia Portugal,"Lisbon, Portugal","<p>Celestia Portugal is a high-tech company devoted to offer and deliver engineering services to the Aerospace industry.<br/></p><p><br/></p><p>Our qualified team of engineers is able to perform design, development, assembly, integration and testing of hardware and software systems applied to the Aeronautical and Space sectors.<br/></p><p><br/></p><p>The range of technical abilities that Celestia Portugal engineering team can offer to Customer ranges the following skills:<br/></p><p><br/></p><p>- Digital signal processing</p><p>- Software development</p><p>- Radiofrequency</p><p>- Antennas</p>",akorolius@celestia-portugal.pt,
